id,movie_key,name,source,file_name,script_url,tmdb_title,release_date,tmdb_id,overview,imdb_title,imdb_release_date,imdb_id,dialogue,charinfo,tagged,adult,backdrop_path,title,original_language,original_title,poster_path,media_type,genre_ids,popularity,video,vote_average,vote_count,genres
1,10thingsihateaboutyou,10 Things I Hate About You,imsdb,10-Things-I-Hate-About-You,https://imsdb.com/scripts/10-Things-I-Hate-About-You.html,10 Things I Hate About You,1999-03-30,4951,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",10 Things I Hate About You,1999,0147800,10-Things-I-Hate-About-You_dialogue.txt,10-Things-I-Hate-About-You_charinfo.txt,10-Things-I-Hate-About-You_parsed.txt,FALSE,/yvPbncYhMu9FfTjDhq0N5lgnVkO.jpg,10 Things I Hate About You,en,10 Things I Hate About You,/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,movie,,52.738,FALSE,7.582,7685,"Comedy, Romance, Drama"
2,12holding,12 and Holding,imsdb,12-and-Holding,https://imsdb.com/scripts/12-and-Holding.html,12 and Holding,2006-03-31,18164,"Three pre-adolescents with virginal and eager-of-signals naivety, hit headlong against monstrous and inhospitable loneliness, in the incandescent fire among the ashes of their own inocence.",12 and Holding,2005,0417385,12-and-Holding_dialogue.txt,12-and-Holding_charinfo.txt,12-and-Holding_parsed.txt,FALSE,/ezeQW1PTI1agRCV4Ce2CQbGmnZM.jpg,12 and Holding,en,12 and Holding,/jOs1N3B7w5ASq80hvTu1m9DiPmE.jpg,movie,,13.32,FALSE,6.84,78,Drama
3,12monkeys,12 Monkeys,imsdb,12-Monkeys,https://imsdb.com/scripts/12-Monkeys.html,Twelve Monkeys,1995-12-29,63,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12 Monkeys,1995,0114746,12-Monkeys_dialogue.txt,12-Monkeys_charinfo.txt,12-Monkeys_parsed.txt,FALSE,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,Twelve Monkeys,en,Twelve Monkeys,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,movie,,45.237,FALSE,7.601,7971,"Science Fiction, Thriller, Mystery"
4,12yearsslave,12 Years a Slave,imsdb,12-Years-a-Slave,https://imsdb.com/scripts/12-Years-a-Slave.html,12 Years a Slave,2013-10-18,76203,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life.",12 Years a Slave,2013,2024544,12-Years-a-Slave_dialogue.txt,12-Years-a-Slave_charinfo.txt,12-Years-a-Slave_parsed.txt,FALSE,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,12 Years a Slave,en,12 Years a Slave,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,movie,,45.88,FALSE,7.945,10900,"Drama, History"
5,127hours,127 Hours,imsdb,127-Hours,https://imsdb.com/scripts/127-Hours.html,127 Hours,2010-11-12,44115,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,127 Hours,2010,1542344,127-Hours_dialogue.txt,127-Hours_charinfo.txt,127-Hours_parsed.txt,FALSE,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,127 Hours,en,127 Hours,/xbszsQv3ifdFZtQu8CzNh4zh0MX.jpg,movie,,27.563,FALSE,7.08,7208,"Adventure, Drama, Thriller"
6,1492conquestofparadise,1492: Conquest of Paradise,imsdb,1492-Conquest-of-Paradise,https://imsdb.com/scripts/1492-Conquest-of-Paradise.html,1492: Conquest of Paradise,1992-10-09,1492,1492: Conquest of Paradise depicts Christopher Columbus' discovery of The New World and his effect on the indigenous people.,1492: Conquest of Paradise,1992,0103594,1492-Conquest-of-Paradise_dialogue.txt,1492-Conquest-of-Paradise_charinfo.txt,1492-Conquest-of-Paradise_parsed.txt,FALSE,/zvQxdWJ1Lb7JNF072EyHcx3kOvE.jpg,1492: Conquest of Paradise,en,1492: Conquest of Paradise,/3effmbI6BbGW9i0HzEDfVGuOsvz.jpg,movie,,21.824,FALSE,6.234,775,"Action, Adventure, Drama, History"
7,15minutes,15 Minutes,imsdb,15-Minutes,https://imsdb.com/scripts/15-Minutes.html,15 Minutes,2001-03-01,2749,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",15 Minutes,2001,0179626,15-Minutes_dialogue.txt,15-Minutes_charinfo.txt,15-Minutes_parsed.txt,FALSE,/dGm3XpCrvwU7DmMz7UFViJtKAYg.jpg,15 Minutes,en,15 Minutes,/bZ7Xx15zZdDzbKFKl4ULEJ11hWu.jpg,movie,,14.644,FALSE,5.934,671,"Action, Crime, Thriller"
8,17again,17 Again,imsdb,17-Again,https://imsdb.com/scripts/17-Again.html,17 Again,2009-03-11,16996,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",17 Again,2009,0974661,17-Again_dialogue.txt,17-Again_charinfo.txt,17-Again_parsed.txt,FALSE,/8urrLPW6HFaIuRhJ1G3iQ7usEo7.jpg,17 Again,en,17 Again,/wqE9b0bdZsubI82zdX1ykLfPajh.jpg,movie,,50.614,FALSE,6.299,4946,"Comedy, Fantasy, Drama, Romance"
10,2001spaceodyssey,2001: A Space Odyssey,imsdb,2001-A-Space-Odyssey,https://imsdb.com/scripts/2001-A-Space-Odyssey.html,2001: A Space Odyssey,1968-04-02,62,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",2001: A Space Odyssey,1968,0062622,2001-A-Space-Odyssey_dialogue.txt,2001-A-Space-Odyssey_charinfo.txt,2001-A-Space-Odyssey_parsed.txt,FALSE,/w5IDXtifKntw0ajv2co7jFlTQDM.jpg,2001: A Space Odyssey,en,2001: A Space Odyssey,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,movie,,52.409,FALSE,8.075,10975,"Science Fiction, Mystery, Adventure"
11,2012,2012,imsdb,2012,https://imsdb.com/scripts/2012.html,2012,2009-10-10,14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",2012,2009,1190080,2012_dialogue.txt,2012_charinfo.txt,2012_parsed.txt,FALSE,/pvxmYJcgrLiYC6G2IQTn1PPNems.jpg,2012,en,2012,/zaqam2RNscH5ooYFWInV6hjx6y5.jpg,movie,,62.238,FALSE,5.836,11557,"Action, Adventure, Science Fiction"
